Date,XLE,SPY,XLC,XLY,XLP,XLV,XLF,XLI,XLB,XLK,XLRE,XLU
2018-01-02,25.74726104736328,236.56214904785156,,46.275230407714844,45.3145751953125,72.72334289550781,23.884138107299805,66.25484466552734,25.995676040649414,29.8729248046875,24.83757781982422,20.13258171081543
2018-01-03,26.132862091064453,238.05844116210938,,46.48769760131836,45.29853439331055,73.4191665649414,24.0124568939209,66.6116943359375,26.177762985229492,30.122093200683594,24.845165252685547,19.97442054748535
2018-01-04,26.290597915649414,239.06175231933594,,46.6401252746582,45.426761627197266,73.52354431152344,24.23487663269043,67.09913635253906,26.40642547607422,30.274370193481445,24.420461654663086,19.808549880981445
2018-01-05,26.28008270263672,240.6549835205078,,47.009613037109375,45.62713623046875,74.14981079101562,24.303306579589844,67.5604476928711,26.61814308166504,30.59275245666504,24.473548889160156,19.800832748413086
2018-01-08,26.43783187866211,241.09506225585938,,47.065032958984375,45.739341735839844,73.88015747070312,24.26909065246582,67.83898162841797,26.656261444091797,30.708110809326172,24.640399932861328,19.98599624633789
2018-01-09,26.371227264404297,241.64068603515625,,47.157413482666016,45.67522430419922,74.74996185302734,24.45728874206543,68.27418518066406,26.613916397094727,30.62965965270996,24.35978889465332,19.789260864257812
2018-01-10,26.339683532714844,241.27098083496094,,47.125091552734375,45.45081329345703,74.6194839477539,24.662593841552734,68.26545715332031,26.453004837036133,30.523542404174805,23.980588912963867,19.573238372802734
2018-01-11,26.8795166015625,243.03138732910156,,47.89179992675781,45.38669204711914,74.94129943847656,24.782363891601562,69.13584899902344,26.800228118896484,30.648130416870117,23.828907012939453,19.499937057495117
2018-01-12,27.1389102935791,244.61572265625,,48.51070785522461,45.40271759033203,75.51537322998047,25.004776000976562,69.77996826171875,26.842578887939453,30.828079223632812,23.65447998046875,19.38806915283203
2018-01-16,26.79538917541504,243.77957153320312,,48.164306640625,45.611106872558594,75.88938903808594,24.936342239379883,69.15328979492188,26.52922821044922,30.708110809326172,23.76823616027832,19.34564208984375
2018-01-17,27.030242919921875,246.10311889648438,,48.39524459838867,46.132057189941406,76.62001037597656,25.124542236328125,69.53621673583984,26.652019500732422,31.169551849365234,23.904756546020508,19.465225219726562
2018-01-18,26.809412002563477,245.6895294189453,,48.353675842285156,45.995811462402344,76.63739776611328,25.0903263092041,69.16197967529297,26.63509178161621,31.22490692138672,23.677230834960938,19.341779708862305
2018-01-19,26.774356842041016,246.80738830566406,,48.77397537231445,46.50874328613281,76.9244613647461,25.269968032836914,69.36216735839844,26.796001434326172,31.28489875793457,23.844079971313477,19.28392219543457
2018-01-22,27.352746963500977,248.81411743164062,,49.31436538696289,46.861392974853516,77.42892456054688,25.475276947021484,69.36216735839844,26.732486724853516,31.589445114135742,24.071598052978516,19.310922622680664
2018-01-23,27.3106746673584,249.3421630859375,,49.73005676269531,46.709102630615234,77.05489349365234,25.500940322875977,69.39698791503906,26.72824478149414,31.727874755859375,24.44321060180664,19.49608612060547
2018-01-24,27.237058639526367,249.245361328125,,49.94253158569336,46.80528259277344,77.28105926513672,25.672027587890625,69.3360595703125,26.842578887939453,31.483308792114258,24.37495994567871,19.37650489807129
2018-01-25,27.023223876953125,249.35104370117188,,49.85476303100586,46.82932662963867,77.94209289550781,25.620698928833008,69.40567779541016,27.02043342590332,31.427942276000977,24.321868896484375,19.677385330200195
2018-01-26,27.17046546936035,252.23782348632812,,50.34435272216797,47.05373001098633,79.62080383300781,25.808897018432617,70.20645904541016,27.138994216918945,31.926286697387695,24.390125274658203,19.688962936401367
